date,channel,impressions,clicks,conversions,cost,revenue,ctr,conversion_rate,cpa,roas,profit
2024-01-01,Paid Search,18548,861,47,1181.48,4968.95,0.046420099202070304,0.0545876887340302,25.13787234042553,4.205699630971324,3787.47
2024-01-02,Paid Search,15656,877,39,1304.46,3697.53,0.05601686254471129,0.04446978335233751,33.44769230769231,2.8345292304861784,2393.07
2024-01-03,Paid Search,19582,1202,58,1452.36,6255.33,0.06138290266571341,0.048252911813643926,25.04068965517241,4.307010658514418,4802.97
2024-01-04,Paid Search,16453,954,37,1394.41,3885.53,0.05798334650215766,0.03878406708595388,37.68675675675676,2.786504686569947,2491.12
2024-01-05,Paid Search,17667,872,52,1352.03,4848.39,0.049357559291334126,0.05963302752293578,26.000576923076924,3.58600770692958,3496.3600000000006
2024-01-06,Paid Search,17366,1031,53,1448.25,5284.37,0.05936888172290683,0.05140640155189137,27.32547169811321,3.648796823752805,3836.12
2024-01-07,Paid Search,21854,1128,48,1468.99,4114.7,0.05161526494005674,0.0425531914893617,30.603958333333335,2.8010401704572527,2645.71
2024-01-08,Paid Search,20032,1082,43,1472.87,3680.84,0.05401357827476038,0.03974121996303143,34.25279069767441,2.4990936063603715,2207.9700000000003
2024-01-09,Paid Search,19337,1150,47,1413.07,4589.39,0.05947147954698247,0.0408695652173913,30.06531914893617,3.24781504101,3176.3200000000006
2024-01-10,Paid Search,18393,1143,57,1407.57,5856.16,0.062143206654705595,0.049868766404199474,24.69421052631579,4.1604751451082365,4448.59
2024-01-11,Paid Search,18520,1115,37,1347.32,3380.16,0.060205183585313175,0.033183856502242155,36.414054054054056,2.508802660095597,2032.84
2024-01-12,Paid Search,16850,888,55,1508.45,4682.12,0.052700296735905046,0.061936936936936936,27.426363636363636,3.1039278729822,3173.67
2024-01-13,Paid Search,14970,781,38,1479.66,3863.95,0.052171008684034736,0.04865556978233035,38.93842105263158,2.611376937945203,2384.29
2024-01-14,Paid Search,19428,1012,44,1378.57,4610.36,0.052089767346098416,0.043478260869565216,31.33113636363636,3.344306056275706,3231.79
2024-01-15,Paid Search,15703,716,28,1415.95,2818.69,0.04559638285677896,0.03910614525139665,50.56964285714286,1.9906705745259365,1402.74
2024-01-16,Paid Search,19242,990,49,1365.35,5004.45,0.05144995322731525,0.049494949494949494,27.864285714285714,3.665323909620244,3639.1
2024-01-17,Paid Search,18822,932,41,1266.07,3716.58,0.049516523217511425,0.043991416309012876,30.879756097560975,2.9355248919885946,2450.51
2024-01-18,Paid Search,18876,965,46,1450.01,4622.1,0.05112311930493749,0.04766839378238342,31.52195652173913,3.18763318873663,3172.09
2024-01-19,Paid Search,19197,1040,45,1211.02,4234.1,0.05417513153096838,0.04326923076923077,26.911555555555555,3.4963088966325913,3023.0800000000004
2024-01-20,Paid Search,15395,678,26,1298.59,2588.49,0.0440402728158493,0.038348082595870206,49.94576923076923,1.9933081265064416,1289.8999999999999
2024-01-21,Paid Search,17319,1138,50,1295.43,5170.38,0.06570818176569086,0.043936731107205626,25.9086,3.991246149927051,3874.95
